id	title	original_steps_list	steps	labels_list
239609	"""Kale, Cabbage, and Brussels Sprout Salad"""	"[""Pour pepitas into a bowl and coat with cooking spray. Sprinkle cayenne pepper, salt, and pepper over pepitas and toss to coat."", ""Cook and stir coated pepitas in a skillet over medium-low heat until lightly toasted and fragrant, about 5 minutes. Remove skillet from heat and allow pepitas to cool."", ""Combine Brussels sprouts, curly kale, lacinato kale, napa cabbage, dried cranberries, mandarin oranges, green onions, strawberries, and toasted pepitas in a large bowl."", ""Mix poppy seed dressing and orange juice together in a bowl; pour over Brussels sprouts mixture and toss well.""]"	"""Pour pepitas into a bowl and coat with cooking spray. Sprinkle cayenne pepper, salt, and pepper over pepitas and toss to coat. Cook and stir coated pepitas in a skillet over medium-low heat until lightly toasted and fragrant, about 5 minutes. Remove skillet from heat and allow pepitas to cool. Combine Brussels sprouts, curly kale, lacinato kale, napa cabbage, dried cranberries, mandarin oranges, green onions, strawberries, and toasted pepitas in a large bowl. Mix poppy seed dressing and orange juice together in a bowl; pour over Brussels sprouts mixture and toss well. """	[126, 294, 463]
246062	"""Funfetti&reg; Birthday Cookies"""	"[""Preheat oven to 375 degrees F (190 degrees C)."", ""Mix cake mix, eggs, and vegetable oil together in a large bowl to form a dough."", ""Combine confectioners' sugar and sprinkles together in a small bowl."", ""Shape dough into 1-inch balls and roll each in the confectioners' sugar mixture. Arrange cookie balls on baking sheets."", ""Bake in the preheated oven until tops are golden, about 6 minutes. Cool on the baking sheets, about 5 minutes, before transferring to a wire rack to cool completely.""]"	"""Preheat oven to 375 degrees F (190 degrees C). Mix cake mix, eggs, and vegetable oil together in a large bowl to form a dough. Combine confectioners' sugar and sprinkles together in a small bowl. Shape dough into 1-inch balls and roll each in the confectioners' sugar mixture. Arrange cookie balls on baking sheets. Bake in the preheated oven until tops are golden, about 6 minutes. Cool on the baking sheets, about 5 minutes, before transferring to a wire rack to cool completely. """	[46, 126, 195, 315]
236727	"""Melt-in-Your-Mouth Slow Cooker Chicken"""	"[""Whisk sea salt, black pepper, cumin, paprika, Italian seasoning, and garlic powder together in a bowl. Season chicken breasts with seasoning mixture and place chicken in the slow cooker."", ""Stir cream of mushroom soup, Italian dressing, sour cream, Parmesan cheese, flour, and vinegar together in a bowl; pour over chicken."", ""Cook on Low for 6 hours."", ""Shred chicken in the slow cooker using 2 forks."", ""Bring a large pot of lightly salted water to a boil. Cook angel hair in the boiling water, stirring occasionally until cooked through but firm to the bite, 4 to 5 minutes. Drain."", ""Serve chicken over angel hair pasta.""]"	"""Whisk sea salt, black pepper, cumin, paprika, Italian seasoning, and garlic powder together in a bowl. Season chicken breasts with seasoning mixture and place chicken in the slow cooker. Stir cream of mushroom soup, Italian dressing, sour cream, Parmesan cheese, flour, and vinegar together in a bowl; pour over chicken. Cook on Low for 6 hours. Shred chicken in the slow cooker using 2 forks. Bring a large pot of lightly salted water to a boil. Cook angel hair in the boiling water, stirring occasionally until cooked through but firm to the bite, 4 to 5 minutes. Drain. Serve chicken over angel hair pasta. """	[186, 320, 345, 393, 572]
219970	"""Bethany's Favorite Valentine Cut Out Sugar Cookies"""	"[""Cream together the butter, sugar, egg, milk, vanilla extract, and almond extract in a large bowl."", ""Stir in the flour and baking powder."", ""Cover and refrigerate until firm, about 2 hours."", ""Preheat oven to 400 degrees F (200 degrees C)."", ""Divide the dough into thirds. On a lightly floured surface, roll out each portion to 1/4-inch thick."", ""Cut cookies out using a floured cookie cutter."", ""Arrange cookies on an ungreased baking sheet about 1-inch apart."", ""Bake until cookies are lightly golden, 6 to 9 minutes."", ""Transfer cookies to a wire rack to cool completely.""]"	"""Cream together the butter, sugar, egg, milk, vanilla extract, and almond extract in a large bowl. Stir in the flour and baking powder. Cover and refrigerate until firm, about 2 hours. Preheat oven to 400 degrees F (200 degrees C). Divide the dough into thirds. On a lightly floured surface, roll out each portion to 1/4-inch thick. Cut cookies out using a floured cookie cutter. Arrange cookies on an ungreased baking sheet about 1-inch apart. Bake until cookies are lightly golden, 6 to 9 minutes. Transfer cookies to a wire rack to cool completely. """	[97, 134, 183, 230, 331, 378, 443, 498]
10745	"""No Bake Cookies III"""	"[""In a saucepan bring sugar, cocoa, margarine, milk, and salt to a rapid boil for 1 minute."", ""Add quick cooking oats, peanut butter, and vanilla; mix well."", ""Working quickly, drop by teaspoonfuls onto waxed paper, and let cool.""]"	"""In a saucepan bring sugar, cocoa, margarine, milk, and salt to a rapid boil for 1 minute. Add quick cooking oats, peanut butter, and vanilla; mix well. Working quickly, drop by teaspoonfuls onto waxed paper, and let cool. """	[89, 151]
15934	"""Good Dog Cookies"""	"[""Preheat oven to 300 degrees F (150 degrees C). Lightly grease one cookie sheet."", ""Dissolve bouillon cubes in boiling water and allow to cool."", ""Combine the flour, dry milk, egg, oil, beef broth and brown sugar. Mix well and knead dough for 1 minute."", ""On a floured surface roll out dough to about 1/4 inch thickness. Cut out bones and place on cookie sheet."", ""Bake for 30 minutes and allow to cool.""]"	"""Preheat oven to 300 degrees F (150 degrees C). Lightly grease one cookie sheet. Dissolve bouillon cubes in boiling water and allow to cool. Combine the flour, dry milk, egg, oil, beef broth and brown sugar. Mix well and knead dough for 1 minute. On a floured surface roll out dough to about 1/4 inch thickness. Cut out bones and place on cookie sheet. Bake for 30 minutes and allow to cool. """	[79, 139, 245, 351]
262939	"""Slow Cooker Lamb Chops"""	"[""Combine red wine and onion in a slow cooker."", ""Whisk honey, mustard, lemon juice, garlic, thyme, rosemary, basil, salt, and pepper together in a small bowl until well blended. Add tapioca starch and whisk until well combined. Let sit until mixture is thickened, at least 5 minutes."", ""Dip lamb chops in the mustard mixture and massage until fully coated."", ""Place chops in a single layer over the red wine and onion mixture in the slow cooker. Pour remaining mustard mixture on top."", ""Cover slow cooker and cook on Low until an instant-read thermometer inserted into the center of a chop reads at least 130 degrees F (54 degrees C), about 4 1/2 hours.""]"	"""Combine red wine and onion in a slow cooker. Whisk honey, mustard, lemon juice, garlic, thyme, rosemary, basil, salt, and pepper together in a small bowl until well blended. Add tapioca starch and whisk until well combined. Let sit until mixture is thickened, at least 5 minutes. Dip lamb chops in the mustard mixture and massage until fully coated. Place chops in a single layer over the red wine and onion mixture in the slow cooker. Pour remaining mustard mixture on top. Cover slow cooker and cook on Low until an instant-read thermometer inserted into the center of a chop reads at least 130 degrees F (54 degrees C), about 4 1/2 hours. """	[44, 279, 349, 474]
167211	"""KRETSCHMAR&reg; Tomato and Peppered Turkey Sandwich"""	"[""Mix mayonnaise and pesto until light green in a small bowl."", ""Cut the roll in half and spread the pesto mayonnaise on both slices."", ""Add the peppered turkey, mozzarella cheese, tomato slices and basil leaves, then place the remaining slice of roll on top.""]"	"""Mix mayonnaise and pesto until light green in a small bowl. Cut the roll in half and spread the pesto mayonnaise on both slices. Add the peppered turkey, mozzarella cheese, tomato slices and basil leaves, then place the remaining slice of roll on top. """	[59, 128]
20389	"""Pumpkin Dessert"""	"[""Preheat oven to 350 degrees F (175 degrees C) and lightly grease a 9x13 inch baking dish."", ""Set aside 1 cup of cake mix. Combine remaining cake mix with melted butter and 1 egg and mix until well blended; spread mixture in the bottom of the prepared baking dish."", ""In a large bowl combine pumpkin, brown sugar, milk, 3 eggs and pumpkin pie spice; mix well and pour this mixture over cake mix mixture in baking dish."", ""In a small bowl with a pastry blender, or in a food processor, combine chilled butter and white sugar with reserved cake mix until mixture resembles coarse crumbs. Sprinkle over pumpkin mixture. Sprinkle chopped walnuts over all."", ""Bake 45 to 50 minutes, until top is golden.""]"	"""Preheat oven to 350 degrees F (175 degrees C) and lightly grease a 9x13 inch baking dish. Set aside 1 cup of cake mix. Combine remaining cake mix with melted butter and 1 egg and mix until well blended; spread mixture in the bottom of the prepared baking dish. In a large bowl combine pumpkin, brown sugar, milk, 3 eggs and pumpkin pie spice; mix well and pour this mixture over cake mix mixture in baking dish. In a small bowl with a pastry blender, or in a food processor, combine chilled butter and white sugar with reserved cake mix until mixture resembles coarse crumbs. Sprinkle over pumpkin mixture. Sprinkle chopped walnuts over all. Bake 45 to 50 minutes, until top is golden. """	[89, 260, 411, 641]
265006	"""Simple Cauliflower Keto Casserole"""	"[""Preheat the oven to 400 degrees F (200 degrees C)."", ""Bring a large pot of slightly salted water to a boil and cook cauliflower until tender but firm to the bite, about 10 minutes. Drain."", ""Combine Cheddar cheese, cream, salt, and pepper in a large bowl. Arrange cauliflower in a casserole dish and cover with cheese mixture."", ""Bake in the preheated oven until cheese is bubbly and golden brown, about 25 minutes.""]"	"""Preheat the oven to 400 degrees F (200 degrees C). Bring a large pot of slightly salted water to a boil and cook cauliflower until tender but firm to the bite, about 10 minutes. Drain. Combine Cheddar cheese, cream, salt, and pepper in a large bowl. Arrange cauliflower in a casserole dish and cover with cheese mixture. Bake in the preheated oven until cheese is bubbly and golden brown, about 25 minutes. """	[50, 184, 320]
220170	"""Very Dairy Strawberry Shortcake Dip"""	"[""Beat heavy cream in a large bowl with an electric mixer until stiff peaks form."", ""Cream together cream cheese, confectioners' sugar, milk, and 1 1/2 teaspoon strawberry jam in a separate large bowl."", ""Fold whipped cream into the cream cheese mixture."", ""Cover and refrigerate until ready to serve."", ""Preheat an oven to 350 degrees F (175 degrees C)."", ""Whisk together flour, baking powder, white sugar, and salt in a large bowl."", ""Cut in shortening with a knife or pastry blender until the mixture resembles coarse crumbs."", ""Beat together egg yolk and buttermilk in a small bowl, then stir into the flour mixture until moistened."", ""Turn the dough out onto a lightly floured surface and knead for five or six turns. Pat or roll the dough out into a 1/2 inch thick round."", ""Cut dough out with a 1-inch biscuit cutter and place on a baking sheet."", ""Bake in the preheated oven until golden brown, 10 to 15 minutes."", ""Cool on the sheet for 10 minutes before removing to cool completely on a wire rack."", ""Cut the cooled biscuits in half ."", ""Skewer half a biscuit on a toothpick, followed by a strawberry slice and another biscuit half."", ""Swirl 1 tablespoon strawberry jam decoratively into the chilled dip and serve with the strawberry shortcake skewers.""]"	"""Beat heavy cream in a large bowl with an electric mixer until stiff peaks form. Cream together cream cheese, confectioners' sugar, milk, and 1 1/2 teaspoon strawberry jam in a separate large bowl. Fold whipped cream into the cream cheese mixture. Cover and refrigerate until ready to serve. Preheat an oven to 350 degrees F (175 degrees C). Whisk together flour, baking powder, white sugar, and salt in a large bowl. Cut in shortening with a knife or pastry blender until the mixture resembles coarse crumbs. Beat together egg yolk and buttermilk in a small bowl, then stir into the flour mixture until moistened. Turn the dough out onto a lightly floured surface and knead for five or six turns. Pat or roll the dough out into a 1/2 inch thick round. Cut dough out with a 1-inch biscuit cutter and place on a baking sheet. Bake in the preheated oven until golden brown, 10 to 15 minutes. Cool on the sheet for 10 minutes before removing to cool completely on a wire rack. Cut the cooled biscuits in half . Skewer half a biscuit on a toothpick, followed by a strawberry slice and another biscuit half. Swirl 1 tablespoon strawberry jam decoratively into the chilled dip and serve with the strawberry shortcake skewers. """	[79, 196, 246, 290, 340, 416, 508, 613, 751, 823, 888, 972, 1006, 1101]
278774	"""Taco Meatballs"""	"[""Preheat the oven to 375 degrees F (190 degrees C). Spray a 9x13-inch glass baking dish with cooking spray."", ""Mix ground beef, onion, Cheddar cheese, tortilla chips, salsa, egg, and taco seasoning together in a bowl."", ""Form 1-inch balls from the mixture and place into the prepared dish so they aren't touching."", ""Bake in the preheated oven until browned and no longer pink in the centers, about 30 minutes. Let stand for 5 minutes and serve.""]"	"""Preheat the oven to 375 degrees F (190 degrees C). Spray a 9x13-inch glass baking dish with cooking spray. Mix ground beef, onion, Cheddar cheese, tortilla chips, salsa, egg, and taco seasoning together in a bowl. Form 1-inch balls from the mixture and place into the prepared dish so they aren't touching. Bake in the preheated oven until browned and no longer pink in the centers, about 30 minutes. Let stand for 5 minutes and serve. """	[106, 213, 306]
220134	"""Authentic Pad Thai Noodles"""	"[""Soak rice vermicelli noodles in a bowl filled with hot water until softened, 30 minutes to 1 hour. Drain and set aside."", ""Heat peanut oil over medium heat in a large wok."", ""Cook and stir tofu in the wok, turning the pieces until they are golden on all sides."", ""Remove tofu with a slotted spoon and drain on plate lined with paper towels."", ""Pour all but 1 tablespoon of used oil from the wok into a small bowl; it will be used again in a later step."", ""Heat the remaining 1 tablespoon of oil in the wok over medium heat until it starts to sizzle."", ""Pour in beaten egg and lightly toss in the hot oil to scramble the egg."", ""Remove egg from the wok and set aside."", ""Pour reserved peanut oil in the small bowl back into the wok."", ""Toss garlic and drained noodles in wok until they are coated with oil."", ""Stir in vegetable broth, lime juice, soy sauce, and sugar. Toss and gently push noodles around the pan to coat with sauce."", ""Gently mix in tofu, scrambled egg, salt, chili flakes, and 3 tablespoons peanuts; toss to mix all ingredients."", ""Mix in bean sprouts and green onions, reserving about 1 tablespoon of each for garnish. Cook and stir until bean sprouts have softened slightly, 1 to 2 minutes."", ""Arrange noodles on a warm serving platter and garnish with 3 tablespoons peanuts and reserved bean sprouts and green onions. Place lime wedges around the edges of the platter.""]"	"""Soak rice vermicelli noodles in a bowl filled with hot water until softened, 30 minutes to 1 hour. Drain and set aside. Heat peanut oil over medium heat in a large wok. Cook and stir tofu in the wok, turning the pieces until they are golden on all sides. Remove tofu with a slotted spoon and drain on plate lined with paper towels. Pour all but 1 tablespoon of used oil from the wok into a small bowl; it will be used again in a later step. Heat the remaining 1 tablespoon of oil in the wok over medium heat until it starts to sizzle. Pour in beaten egg and lightly toss in the hot oil to scramble the egg. Remove egg from the wok and set aside. Pour reserved peanut oil in the small bowl back into the wok. Toss garlic and drained noodles in wok until they are coated with oil. Stir in vegetable broth, lime juice, soy sauce, and sugar. Toss and gently push noodles around the pan to coat with sauce. Gently mix in tofu, scrambled egg, salt, chili flakes, and 3 tablespoons peanuts; toss to mix all ingredients. Mix in bean sprouts and green onions, reserving about 1 tablespoon of each for garnish. Cook and stir until bean sprouts have softened slightly, 1 to 2 minutes. Arrange noodles on a warm serving platter and garnish with 3 tablespoons peanuts and reserved bean sprouts and green onions. Place lime wedges around the edges of the platter. """	[119, 168, 254, 331, 440, 534, 606, 645, 707, 778, 901, 1012, 1173]
211190	"""Asian Grilled Chicken"""	"[""Place the soy sauce, brown sugar, lime juice, orange juice, sweet chili sauce, chili-garlic sauce, garlic, and curry powder in a large plastic zipper bag. Seal and knead the bag with your fingers to mix all the ingredients and dissolve the sugar. Place the chicken thighs into the marinade, squeeze out the air from the bag, zip the bag closed, and refrigerate for 4 hours or overnight."", ""Preheat an outdoor grill for medium-low heat; lightly oil the grate."", ""Remove the chicken from the bag, pour the excess marinade into a small saucepan, and bring to a full boil for about 1 minute to sterilize the marinade."", ""Grill the chicken thighs until they are no longer pink in the middle and show grill marks, about 25 minutes, basting them generously with the sterilized marinade as they grill.""]"	"""Place the soy sauce, brown sugar, lime juice, orange juice, sweet chili sauce, chili-garlic sauce, garlic, and curry powder in a large plastic zipper bag. Seal and knead the bag with your fingers to mix all the ingredients and dissolve the sugar. Place the chicken thighs into the marinade, squeeze out the air from the bag, zip the bag closed, and refrigerate for 4 hours or overnight. Preheat an outdoor grill for medium-low heat; lightly oil the grate. Remove the chicken from the bag, pour the excess marinade into a small saucepan, and bring to a full boil for about 1 minute to sterilize the marinade. Grill the chicken thighs until they are no longer pink in the middle and show grill marks, about 25 minutes, basting them generously with the sterilized marinade as they grill. """	[386, 455, 607]
267255	"""Air Fryer Brussels Sprouts"""	"[""Preheat an air fryer to 350 degrees F (175 degrees C)."", ""Combine oil, salt, and pepper in a bowl and mix well. Add Brussels sprouts and turn to coat."", ""Air fry for 5 minutes, shake the sprouts, and cook for an additional 5 minutes."", ""Transfer sprouts to a serving dish and sprinkle with balsamic vinegar; turn to coat. Sprinkle with bacon.""]"	"""Preheat an air fryer to 350 degrees F (175 degrees C). Combine oil, salt, and pepper in a bowl and mix well. Add Brussels sprouts and turn to coat. Air fry for 5 minutes, shake the sprouts, and cook for an additional 5 minutes. Transfer sprouts to a serving dish and sprinkle with balsamic vinegar; turn to coat. Sprinkle with bacon. """	[54, 147, 227]
273997	"""Air Fryer Cornflake-Crusted Chicken Tenders"""	"[""Preheat the air fryer to 400 degrees F (200 degrees C)."", ""Mix together egg, pesto, and salt in a shallow dish. In a separate dish mix together cornflake crumbs, Parmesan cheese, cantanzaro herbs, garlic, and salt."", ""Dip each piece of chicken piece first in egg wash, then dredge through the cornflake mixture, shaking off excess breading. Place chicken pieces in the air fryer basket."", ""Air fry for 5 minutes, rearrange chicken pieces, and fry until no longer pink in the center and the juices run clear, about 5 minutes more.""]"	"""Preheat the air fryer to 400 degrees F (200 degrees C). Mix together egg, pesto, and salt in a shallow dish. In a separate dish mix together cornflake crumbs, Parmesan cheese, cantanzaro herbs, garlic, and salt. Dip each piece of chicken piece first in egg wash, then dredge through the cornflake mixture, shaking off excess breading. Place chicken pieces in the air fryer basket. Air fry for 5 minutes, rearrange chicken pieces, and fry until no longer pink in the center and the juices run clear, about 5 minutes more. """	[55, 211, 380]
241425	"""Quick Red Curry Soup"""	"[""Stir red curry paste and olive oil together in a saucepan over low heat and cook until fragrant, about 5 minutes."", ""Pour coconut milk, chicken stock, lime juice, and lime zest into the saucepan. Bring the mixture to a boil, reduce heat to medium-low, and cook, at a simmer for 10 minutes."", ""Stir cherry tomatoes and cilantro into the soup; bring mixture again to a simmer and cook until the tomatoes are soft, 10 to 15 minutes."", ""Stir shrimp, bean sprouts, and cooked chicken into the soup; cook until shrimp are bright pink on the outside and the meat is no longer transparent in the center, 10 to 15 minutes. Season soup with salt and pepper.""]"	"""Stir red curry paste and olive oil together in a saucepan over low heat and cook until fragrant, about 5 minutes. Pour coconut milk, chicken stock, lime juice, and lime zest into the saucepan. Bring the mixture to a boil, reduce heat to medium-low, and cook, at a simmer for 10 minutes. Stir cherry tomatoes and cilantro into the soup; bring mixture again to a simmer and cook until the tomatoes are soft, 10 to 15 minutes. Stir shrimp, bean sprouts, and cooked chicken into the soup; cook until shrimp are bright pink on the outside and the meat is no longer transparent in the center, 10 to 15 minutes. Season soup with salt and pepper. """	[113, 286, 423]
